heure,niveau,tache
"2023-06-21 09:38:45,824",ERROR, onestock_order_state_change
"2023-06-21 09:38:45,824",ERROR, onestock_order_state_change
"2023-06-21 10:44:29,442",ERROR, onestock_order_state_change
"2023-06-21 10:44:29,442",ERROR, onestock_order_state_change
"2023-06-21 15:20:30,829",ERROR, onestock_order_state_change
"2023-06-21 15:20:30,829",ERROR, onestock_order_state_change
"2023-06-21 15:25:02,385",ERROR, onestock_order_state_change
"2023-06-21 15:25:02,385",ERROR, onestock_order_state_change
"2023-06-21 15:25:21,280",ERROR, onestock_order_state_change
"2023-06-21 15:25:21,280",ERROR, onestock_order_state_change
"2023-06-21 15:42:12,876",ERROR, onestock_order_state_change
"2023-06-21 15:42:12,876",ERROR, onestock_order_state_change
"2023-06-21 16:08:49,017",ERROR, onestock_order_state_change
"2023-06-21 16:08:49,017",ERROR, onestock_order_state_change
"2023-06-21 16:09:03,346",ERROR, onestock_order_state_change
"2023-06-21 16:09:03,346",ERROR, onestock_order_state_change
"2023-06-21 16:27:42,825",ERROR, onestock_order_state_change
"2023-06-21 16:27:42,825",ERROR, onestock_order_state_change
"2023-06-21 16:51:17,966",ERROR, onestock_order_state_change
"2023-06-21 16:51:17,966",ERROR, onestock_order_state_change
"2023-06-21 16:56:38,286",ERROR, onestock_order_state_change
"2023-06-21 16:56:38,286",ERROR, onestock_order_state_change
"2023-06-21 17:02:34,435",ERROR, onestock_order_state_change
"2023-06-21 17:02:34,435",ERROR, onestock_order_state_change
