heure,niveau,tache
"2023-06-26 08:55:22,857",ERROR,N/A
"2023-06-26 08:55:22,857",ERROR,N/A
"2023-06-26 08:55:22,857",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,858",ERROR,N/A
"2023-06-26 08:55:22,859",ERROR,N/A
"2023-06-26 08:55:22,859",ERROR,N/A
"2023-06-26 08:55:22,859",ERROR,N/A
"2023-06-26 08:55:22,859",ERROR,N/A
"2023-06-26 08:55:22,900",ERROR,N/A
"2023-06-26 08:55:22,901",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,905",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,906",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,907",ERROR,N/A
"2023-06-26 08:55:22,916",ERROR,N/A
"2023-06-26 08:55:22,921",ERROR,N/A
"2023-06-26 08:55:22,921",ERROR,N/A
"2023-06-26 08:55:22,921",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 08:55:22,922",ERROR,N/A
"2023-06-26 09:36:10,468",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 09:36:10,469",ERROR,N/A
"2023-06-26 09:36:10,469",ERROR,N/A
"2023-06-26 09:36:10,469",ERROR,N/A
"2023-06-26 09:36:10,469",ERROR,N/A
"2023-06-26 09:36:10,469",ERROR,N/A
"2023-06-26 09:36:10,469",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR, ConnectionResetError: 
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,470",ERROR, paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
"2023-06-26 09:36:10,470",ERROR,N/A
"2023-06-26 09:36:10,499",ERROR, Exception: Error reading SSH protocol banner
"2023-06-26 09:36:10,503",ERROR,N/A
"2023-06-26 09:36:10,504",ERROR,N/A
"2023-06-26 09:36:10,504",ERROR,N/A
"2023-06-26 09:36:10,504",ERROR,N/A
"2023-06-26 09:36:10,504",ERROR,N/A
"2023-06-26 09:36:10,504",ERROR,N/A
