heure,niveau,tache
"2023-06-26 06:28:00,152",ERROR,notification
"2023-06-26 06:29:00,196",ERROR,notification
"2023-06-26 11:53:01,095",ERROR,fix_generate_parcel_state_file
"2023-06-26 11:53:01,096",ERROR,fix_generate_parcel_state_file
"2023-06-26 14:55:09,227",INFO,import_order_update
"2023-06-26 14:55:09,227",INFO,import_order_update
"2023-06-26 14:55:09,242",ERROR,import_order_update
"2023-06-26 14:55:09,242",ERROR,import_order_update
"2023-06-26 14:56:01,861",INFO,import_order_update
"2023-06-26 14:56:01,861",INFO,import_order_update
"2023-06-26 14:56:01,862",ERROR,import_order_update
"2023-06-26 14:56:01,862",ERROR,import_order_update
"2023-06-26 14:57:01,843",INFO,import_order_update
"2023-06-26 14:57:01,843",INFO,import_order_update
"2023-06-26 14:57:01,845",ERROR,import_order_update
"2023-06-26 14:57:01,845",ERROR,import_order_update
"2023-06-26 14:58:01,646",ERROR,import_order_update
"2023-06-26 14:58:01,646",INFO,import_order_update
"2023-06-26 14:58:01,647",INFO,import_order_update
"2023-06-26 14:58:01,654",ERROR,import_order_update
"2023-06-26 14:58:01,655",ERROR,import_order_update
"2023-06-26 15:40:59,712",ERROR,notification
"2023-06-26 16:00:01,403",INFO,import_order_update
"2023-06-26 16:00:01,403",INFO,import_order_update
"2023-06-26 16:00:01,405",ERROR,import_order_update
"2023-06-26 16:00:01,405",ERROR,import_order_update
"2023-06-26 16:00:49,600",ERROR,import_order_update
"2023-06-26 16:00:49,600",ERROR,import_order_update
"2023-06-26 16:23:46,828",ERROR,fix_cash_order_immediate_withdraw
"2023-06-26 16:23:46,828",ERROR,fix_cash_order_immediate_withdraw
"2023-06-26 17:25:17,421",INFO,import_order_update
"2023-06-26 17:25:17,422",INFO,import_order_update
"2023-06-26 17:25:17,423",ERROR,import_order_update
"2023-06-26 17:25:17,423",ERROR,import_order_update
"2023-06-26 17:26:14,617",INFO,import_order_update
"2023-06-26 17:26:14,618",INFO,import_order_update
"2023-06-26 17:26:14,667",ERROR,import_order_update
"2023-06-26 17:26:14,667",ERROR,import_order_update
"2023-06-26 17:27:06,405",INFO,import_order_update
"2023-06-26 17:27:06,405",INFO,import_order_update
"2023-06-26 17:27:06,406",ERROR,import_order_update
"2023-06-26 17:27:06,406",ERROR,import_order_update
"2023-06-26 17:28:06,867",INFO,import_order_update
"2023-06-26 17:28:06,867",INFO,import_order_update
"2023-06-26 17:28:06,868",ERROR,import_order_update
"2023-06-26 17:28:06,868",ERROR,import_order_update
"2023-06-26 17:29:11,009",INFO,import_order_update
"2023-06-26 17:29:11,009",INFO,import_order_update
"2023-06-26 17:29:11,010",ERROR,import_order_update
"2023-06-26 17:29:11,011",ERROR,import_order_update
"2023-06-26 17:30:05,845",INFO,import_order_update
"2023-06-26 17:30:05,846",INFO,import_order_update
"2023-06-26 17:30:05,910",ERROR,import_order_update
"2023-06-26 17:30:05,910",ERROR,import_order_update
"2023-06-26 17:31:05,116",INFO,import_order_update
"2023-06-26 17:31:05,117",INFO,import_order_update
"2023-06-26 17:31:05,119",ERROR,import_order_update
"2023-06-26 17:31:05,119",ERROR,import_order_update
"2023-06-26 17:32:04,694",INFO,import_order_update
"2023-06-26 17:32:04,694",INFO,import_order_update
"2023-06-26 17:32:04,695",ERROR,import_order_update
"2023-06-26 17:32:04,695",ERROR,import_order_update
"2023-06-26 17:33:07,300",INFO,import_order_update
"2023-06-26 17:33:07,301",INFO,import_order_update
"2023-06-26 17:33:07,302",ERROR,import_order_update
"2023-06-26 17:33:07,302",ERROR,import_order_update
"2023-06-26 17:36:13,483",INFO,import_order_update
"2023-06-26 17:36:13,483",INFO,import_order_update
"2023-06-26 17:36:13,484",ERROR,import_order_update
"2023-06-26 17:36:13,484",ERROR,import_order_update
"2023-06-26 17:37:03,219",INFO,import_order_update
"2023-06-26 17:37:03,220",INFO,import_order_update
"2023-06-26 17:37:03,221",ERROR,import_order_update
"2023-06-26 17:37:03,221",ERROR,import_order_update
"2023-06-26 17:38:02,369",INFO,import_order_update
"2023-06-26 17:38:02,369",INFO,import_order_update
"2023-06-26 17:38:02,370",ERROR,import_order_update
"2023-06-26 17:38:02,370",ERROR,import_order_update
"2023-06-26 17:39:04,102",INFO,import_order_update
"2023-06-26 17:39:04,102",INFO,import_order_update
"2023-06-26 17:39:04,103",ERROR,import_order_update
"2023-06-26 17:39:04,103",ERROR,import_order_update
"2023-06-26 17:40:01,984",INFO,import_order_update
"2023-06-26 17:40:01,984",INFO,import_order_update
"2023-06-26 17:40:01,985",ERROR,import_order_update
"2023-06-26 17:40:01,985",ERROR,import_order_update
"2023-06-26 17:41:02,372",INFO,import_order_update
"2023-06-26 17:41:02,372",INFO,import_order_update
"2023-06-26 17:41:02,373",ERROR,import_order_update
"2023-06-26 17:41:02,374",ERROR,import_order_update
"2023-06-26 17:42:02,025",INFO,import_order_update
"2023-06-26 17:42:02,025",INFO,import_order_update
"2023-06-26 17:42:02,027",ERROR,import_order_update
"2023-06-26 17:42:02,027",ERROR,import_order_update
"2023-06-26 17:42:57,723",ERROR,import_order_update
"2023-06-26 17:42:57,724",ERROR,import_order_update
"2023-06-26 19:12:59,538",ERROR,notification
"2023-06-26 19:30:59,547",ERROR,notification
"2023-06-26 19:48:59,549",ERROR,notification
"2023-06-26 19:49:59,469",ERROR,notification
"2023-06-26 19:57:59,427",ERROR,notification
"2023-06-26 23:40:01,868",INFO,import_order_update
"2023-06-26 23:40:01,868",INFO,import_order_update
"2023-06-26 23:40:01,876",ERROR,import_order_update
"2023-06-26 23:40:01,877",ERROR,import_order_update
"2023-06-26 23:40:48,564",ERROR,import_order_update
"2023-06-26 23:40:48,564",ERROR,import_order_update
"2023-06-27 01:36:21,112",ERROR,import_product
"2023-06-27 01:36:21,113",ERROR,import_product
"2023-06-27 01:36:21,114",ERROR,import_product
"2023-06-27 01:36:21,114",ERROR,import_product
"2023-06-27 01:36:21,115",ERROR,import_product
"2023-06-27 01:36:21,115",ERROR,import_product
"2023-06-27 01:36:21,116",ERROR,import_product
"2023-06-27 01:36:21,116",ERROR,import_product
"2023-06-27 01:36:21,117",ERROR,import_product
"2023-06-27 01:46:50,457",ERROR,import_product
"2023-06-27 01:46:50,457",ERROR,import_product
"2023-06-27 01:46:50,458",ERROR,import_product
"2023-06-27 01:46:50,458",ERROR,import_product
"2023-06-27 01:46:50,459",ERROR,import_product
"2023-06-27 01:46:50,459",ERROR,import_product
"2023-06-27 01:46:50,460",ERROR,import_product
"2023-06-27 01:46:50,460",ERROR,import_product
"2023-06-27 01:46:50,461",ERROR,import_product
"2023-06-27 01:46:50,462",ERROR,import_product
"2023-06-27 01:46:50,462",ERROR,import_product
"2023-06-27 01:46:50,463",ERROR,import_product
"2023-06-27 01:46:50,463",ERROR,import_product
"2023-06-27 01:46:50,464",ERROR,import_product
"2023-06-27 01:46:50,464",ERROR,import_product
"2023-06-27 01:46:50,465",ERROR,import_product
"2023-06-27 01:46:50,465",ERROR,import_product
"2023-06-27 01:46:50,466",ERROR,import_product
"2023-06-27 01:46:50,466",ERROR,import_product
"2023-06-27 01:46:50,467",ERROR,import_product
"2023-06-27 01:46:50,467",ERROR,import_product
"2023-06-27 01:46:50,468",ERROR,import_product
"2023-06-27 01:46:50,468",ERROR,import_product
"2023-06-27 01:46:50,469",ERROR,import_product
